Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,busca
Vitamin D Status in Children in Greece and Its Relationship with Sunscreen Application,"Feketea, Gavriela Maria; Bocsan, Ioana Corina; Tsiros, Georgios; Voila, Panagiota; Stanciu, Luminita Aurelia; Zdrenghea, Mihnea",,,,CHILDREN-BASEL,FEB 2021,2021,8.0,2,,,,,,111,10.3390/children8020111,,,8,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,1
The resurgence of the importance of vitamin D in bone health,"Lee, Waffen T. K.; Jiang, Ji",,,,ASIA PACIFIC JOURNAL OF CLINICAL NUTRITION,2008,2008,17.0,,,1,,138,142,,,10th Asian Congress of Nutrition,"SEP, 2007",8,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1
Preserved circannual rhythm of vitamin D in kidney transplant patients,"Burkhalter, Felix; Schuaub, Stefan; Dickenmann, Michael",,,,SWISS MEDICAL WEEKLY,SEP 4 2012,2012,142.0,,,,,,,w13672,10.4414/smw.2012.13672,,,7,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,1,1,0,0,1
25-Hydroxyvitamin D serum levels in rheumatic female patients in southeast Spain: The paradigm of daily optimal sunshine levels and inadequate vitamin D status,"Alejandra Pereda, Claudia; Betina Nishishinya, Maria; Roldan, Emilio J. A.",,,,ENDOCRINOLOGIA DIABETES Y NUTRICION,MAR 2019,2019,66.0,3,,,,181,187,,10.1016/j.endinu.2018.08.012,,,6,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,1
"Vitamin D Levels, Dietary Intake, and Photoprotective Behaviors Among Patients With Skin Cancer","DeLong, Laura K.; Wetherington, Sarah; Hill, Nikki; Kumari, Meena; Gammon, Bryan; Dunbar, Scott; Tangpricha, Vin; Chen, Suephy C.",,,,SEMINARS IN CUTANEOUS MEDICINE AND SURGERY,SEP 2010,2010,29.0,3,,,,185,189,,10.1016/j.sder.2010.06.001,,,6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,1
"Vitamin D status in Kancheepuram District, Tamil Nadu, India","Mechenro, John; Venugopal, Giriprasad; Kumar, M. Buvnesh; Balakrishnan, D.; Ramakrishna, Balakrishnan S.",,,,BMC PUBLIC HEALTH,DEC 5 2018,2018,18.0,,,,,,,1345,10.1186/s12889-018-6244-5,,,5,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1
"Prevalence of Vitamin D Insufficiency and Deficiency among Young Physicians at University District Hospital in San Juan, Puerto Rico","Ramirez-Vick, Margarita; Hernandez-Davila, Leticia; Rodriguez-Rivera, Nixzaliz; Lopez-Valentin, Marie; Haddock, Lillian; Rodriguez-Martinez, Renil; Gonzalez-Bossolo, Alex",,,,PUERTO RICO HEALTH SCIENCES JOURNAL,JUN 2015,2015,34.0,2,,,,83,88,,,,,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1
Correlates of Vitamin D Insufficiency in an Affluent Adult Population,"Orelind, Erik; Feinglass, Joseph; Moran, Maureen; Zei, Charles P.; Baker, David W.",,,,SOUTHERN MEDICAL JOURNAL,FEB 2012,2012,105.0,2,,,,78,81,,10.1097/SMJ.0b013e3182459145,,,5,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,1
The Influence of Sunlight Exposure on Serum Vitamin D Concentration and Bone Turnover; a controlled clinical trial,"Ataie-Jafari, A.; Hossein-nezhad, A.; Maghbooli, Zh; Karimi, F.; Rahmani, M.; Shahbazi, S.; Larijani, B.",,,,IRANIAN JOURNAL OF PUBLIC HEALTH,2008,2008,,,,S,,41,48,,,,,4,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
Vitamin D status in Thai dermatologists and working-age Thai population,"Rajatanavin, Natta; Kanokrungsee, Silada; Aekplakorn, Wichai",,,,JOURNAL OF DERMATOLOGY,MAR 2019,2019,46.0,3,,,,206,212,,10.1111/1346-8138.14742,,,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1
Serum Vitamin D and Facial Aging: Is There a Link?,"Dawoud, Noha M.; Bakry, Ola A.; Shoeib, Mohamed A.; Ismael, Huda N.",,,,SKIN PHARMACOLOGY AND PHYSIOLOGY,2016,2016,29.0,2,,,,76,82,,10.1159/000443839,,,3,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
The Five Paradoxes of Vitamin D and the Importance of Sunscreen Protection,"Chesney, Russell W.",,,,CLINICAL PEDIATRICS,SEP 2012,2012,51.0,9,,,,819,827,,10.1177/0009922811431161,,,3,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
Vitamin D insufficiency and factors associated: a study with older adults people from primary health care network,"Donato Rolizola, Patricia Moreira; Freiria, Carolina Neves; da Silva, Graziele Maria; Pereira de Brito, Tabatta Renata; Arbex Borim, Flavia Silva; Corona, Ligiana Pires",,,,CIENCIA & SAUDE COLETIVA,FEB 2022,2022,27.0,2,,,,653,664,,10.1590/1413-81232022272.37532020,,,2,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"Evaluation of the knowledge regarding vitamin D, and sunscreen use of female adolescents in Iran","Bahrami, Afsane; Farjami, Zahra; Ferns, Gordon A.; Hanachi, Parichehr; Mobarhan, Majid Ghayour",,,,BMC PUBLIC HEALTH,NOV 10 2021,2021,21.0,1,,,,,,2059,10.1186/s12889-021-12133-5,,,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Prevalence and risk factors for vitamin D insufficiency in 6-12-month-old infants: a cross-sectional study in Southern Thailand,"Kasemsripitak, Staporn; Jaruratanasirikul, Somchit; Boonrusmee, Sasivara; Saengkaew, Tansit; Sriplung, Hutcha",,,,BMC PEDIATRICS,DEC 21 2022,2022,22.0,1,,,,,,729,10.1186/s12887-022-03797-y,,,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Vitamin D levels among anesthesiologists and other physicians,"Ojeda, Dagoberto; Cabezon, Mariana; Agurto, Mariela; Oviedo, Sofia; Vega, Carlos; Daza, Ximena; Demetrio, Beatriz; Carrasco, Cecilia; Cisternas, Patricia",,,,REVISTA MEDICA DE CHILE,NOV 2019,2019,147.0,11,,,,1415,1422,,10.4067/s0034-98872019001101415,,,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Vitamin D status in non-pregnant women of reproductive age: a study in Southern Thailand,"Jaruratanasirikul, Somchit; Boonrusmee, Sasivara; Kasemsripitak, Staporn; Saengkaew, Tansit; Chimrung, Kanjana; Sriplung, Hutcha",,,,SCIENTIFIC REPORTS,SEP 14 2023,2023,13.0,1,,,,,,15264,10.1038/s41598-023-42557-5,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vitamin D Levels in Children During Winter and the Relationship Between Sunscreen and Sun Protection Behaviors,"Tugrul, Burcu; Demirdag, Hatice Gamze; Sahin, Aysin Hanli",,,,DERMATOLOGY PRACTICAL & CONCEPTUAL,JUL 2023,2023,13.0,3,,,,,,e2023190,10.5826/dpc.1303a190,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Assessment of the vitamin D status and its determinants in young healthy students from Palestine,"Lenz, Janina Susann; Tintle, Nathan; Kerlikowsky, Felix; Badrasawi, Manal; Zahdeh, Rana; Qasrawi, Radwan; Hahn, Andreas; Schuchardt, Jan Philipp",,,,JOURNAL OF NUTRITIONAL SCIENCE,MAR 17 2023,2023,12.0,,,,,,,e38,10.1017/jns.2023.25,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Risk perception of sun exposure and knowledge of vitamin D among the healthcare providers in a high-risk country: a cross-sectional study,"Siddiqee, Mahbubul H.; Bhattacharjee, Badhan; Hasan, Mahbub; Shojon, Mohammad; Hassan, Mehedi; Rouf, Rashawan Raziur; Siddiqi, Umme Raihan; Rabbi, Fazlay; Siddiqi, Umme Ruman",,,,BMC MEDICAL EDUCATION,JAN 20 2023,2023,23.0,1,,,,,,46,10.1186/s12909-023-04001-0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vitamin D status and associated factors among peri menopausal women in two selected districts of Kerala,"Vasudevan, Bindhu; Karunakaran, Usha; Antony, Alwin; Ramachandran, Reshmi",,,,INDIAN JOURNAL OF PUBLIC HEALTH,APR-JUN 2021,2021,65.0,2,,,,166,171,,10.4103/ijph.IJPH_760_20,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Increased Body Mass Index (BMI) and Sunscreen Use Are Associated with Inadequate Vitamin D Status in Greek Adults in Winter BMI, Sunscreen Use and Vitamin D Status in Greek Adults","Kontopoulou, Lamprini B.; Challa, Anna; Vaiou, Maria; Moula, Amalia, I; Papathanasiou, Ioanna, V; Marakis, Georgios; Karpetas, Georgios E.; Fradelos, Evangelos C.; Papagiannis, Dimitrios; Malli, Foteini; Mastorodimos, Christos G.; Gourgoulianis, Konstantinos, I; Moulas, Anargyros N.",,,"Vlamos, P",GENEDIS 2020: GERIATRICS,2021,2021,1337.0,,,,,307,314,,10.1007/978-3-030-78771-4_34,"4th World Congress on Genetics, Geriatrics and Neurodegenerative Diseases Research (GeNeDis)","OCT 08-11, 2020",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vitamin D status in children and adolescents: A prospective cohort study,"Buhr, Neeley; Oeffinger, Donna; Kryscio, Richard; Milbrandt, Todd A.; Muchow, Ryan D.; Talwalkar, Vishwas R.; Iwinski, Henry J.; Riley, Scott A.; Walker, Janet L.",,,,CURRENT ORTHOPAEDIC PRACTICE,MAR-APR 2020,2020,31.0,2,,,,168,172,,10.1097/BCO.0000000000000838,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"VITAMIN D STATUS AMONG YOUTH SOCCER PLAYERS; ASSOCIATION WITH CHRONOLOGICAL AGE, MATURITY STATUS, JUMPING AND SPRINTING PERFORMANCE","Peric, Ivan; Gilic, Barbara; Blazevic, Mateo",,,"Cacek, J; Sajdlova, Z; Simkova, K",12TH INTERNATIONAL CONFERENCE ON KINANTHROPOLOGY: SPORT AND QUALITY OF LIFE,2020,2020,,,,,,119,124,,,12th International Conference on Kinanthropology - Sport and Quality of Life,"NOV 07-09, 2019",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vitamin D deficiency aggravates COVID-19: systematic review and meta-analysis,"Pereira, Marcos; Dantas Damascena, Alialdo; Galvao Azevedo, Laylla Mirella; de Almeida Oliveira, Tarcio; da Mota Santana, Jerusa",,,,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,MAR 9 2022,2022,62.0,5.0,,,,1308,1316,,10.1080/10408398.2020.1841090,,,249,49.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,104,89,53,0,2
Vitamin D deficiency as a predictor of poor prognosis in patients with acute respiratory failure due to COVID-19,"Carpagnano, G. E.; Di Lecce, V; Quaranta, V. N.; Zito, A.; Buonamico, E.; Capozza, E.; Palumbo, A.; Di Gioia, G.; Valerio, V. N.; Resta, O.",,,,JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION,APR 2021,2021,44.0,4.0,,,,765,771,,10.1007/s40618-020-01370-x,,,229,45.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,109,71,25,0,2
Vitamin D insufficiency as a potential culprit in critical COVID-19 patients,"Munshi, Ruhul; Hussein, Mohammad H.; Toraih, Eman A.; Elshazli, Rami M.; Jardak, Christina; Sultana, Nasrin; Youssef, Mohanad R.; Omar, Mahmoud; Attia, Abdallah S.; Fawzy, Manal S.; Killackey, Mary; Kandil, Emad; Duchesne, Juan",,,,JOURNAL OF MEDICAL VIROLOGY,FEB 2021,2021,93.0,2.0,,,,733,740,,10.1002/jmv.26360,,,121,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,57,28,18,0,2
"Considerations for Obesity, Vitamin D, and Physical Activity Amid the COVID-19 Pandemic","Carter, Stephen J.; Baranauskas, Marissa N.; Fly, Alyce D.",,,,OBESITY,JUL 2020,2020,28.0,7.0,,,,1176,1177,,10.1002/oby.22838,,,111,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,43,22,7,0,2
Effects of a 2-Week 5000 IU versus 1000 IU Vitamin D3 Supplementation on Recovery of Symptoms in Patients with Mild to Moderate Covid-19: A Randomized Clinical Trial,"Sabico, Shaun; Enani, Mushira A.; Sheshah, Eman; Aljohani, Naji J.; Aldisi, Dara A.; Alotaibi, Naif H.; Alshingetti, Naemah; Alomar, Suliman Y.; Alnaami, Abdullah M.; Amer, Osama E.; Hussain, Syed D.; Al-Daghri, Nasser M.",,,,NUTRIENTS,JUL 2021,2021,13.0,7.0,,,,,,2170,10.3390/nu13072170,,,99,24.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,52,32,0,2
Low vitamin D status is associated with coronavirus disease 2019 outcomes: a systematic review and meta-analysis,"Liu, Nanyang; Sun, Jiahui; Wang, Xiyuan; Zhang, Tingting; Zhao, Ming; Li, Hao",,,,INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,MAR 2021,2021,104.0,,,,,58,64,,10.1016/j.ijid.2020.12.077,,,98,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,34,20,0,2
Vitamin D Status and SARS-CoV-2 Infection and COVID-19 Clinical Outcomes,"Chiodini, Iacopo; Gatti, Davide; Soranna, Davide; Merlotti, Daniela; Mingiano, Christian; Fassio, Angelo; Adami, Giovanni; Falchetti, Alberto; Eller-Vainicher, Cristina; Rossini, Maurizio; Persani, Luca; Zambon, Antonella; Gennari, Luigi",,,,FRONTIERS IN PUBLIC HEALTH,DEC 22 2021,2021,9.0,,,,,,,736665,10.3389/fpubh.2021.736665,,,88,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,36,0,2
Vitamin D and COVID-19 infection and mortality in UK Biobank,"Hastie, Claire E.; Pell, Jill P.; Sattar, Naveed",,,,EUROPEAN JOURNAL OF NUTRITION,FEB 2021,2021,60.0,1.0,,,,545,548,,10.1007/s00394-020-02372-4,,,78,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,39,26,7,0,2
Prognostic and Therapeutic Role of Vitamin D in COVID-19: Systematic Review and Meta-analysis,"Dissanayake, Harsha Anuruddhika; de Silva, Nipun Lakshitha; Sumanatilleke, Manilka; de Silva, Sawanawadu Dilantha Neomal; Gamage, Kavinga Kalhari Kobawaka; Dematapitiya, Chinthana; Kuruppu, Daya Chandrani; Ranasinghe, Priyanga; Pathmanathan, Sivatharshya; Katulanda, Prasad",,,,JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,APR 19 2022,2022,107.0,5.0,,,,1484,1502,,10.1210/clinem/dgab892,,,70,23.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,30,1,2
Impact of Serum 25(OH) Vitamin D Level on Mortality in Patients with COVID-19 in Turkey,"Karahan, S.; Katkat, F.",,,,JOURNAL OF NUTRITION HEALTH & AGING,FEB 2021,2021,25.0,2.0,,,,189,196,,10.1007/s12603-020-1479-0,,,69,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,23,11,1,2
"Vitamin D: Dosing, levels, form, and route of administration: Does one approach fit all?","Bilezikian, John P.; Formenti, Anna Maria; Adler, Robert A.; Binkley, Neil; Bouillon, Roger; Lazaretti-Castro, Marise; Marcocci, Claudio; Napoli, Nicola; Rizzoli, Rene; Giustina, Andrea",,,,REVIEWS IN ENDOCRINE & METABOLIC DISORDERS,DEC 2021,2021,22.0,4.0,,,,1201,1218,,10.1007/s11154-021-09693-7,,,57,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,35,1,2
Vitamin D 25OH deficiency in COVID-19 patients admitted to a tertiary referral hospital,"Cereda, Emanuele; Bogliolo, Laura; Klersy, Catherine; Lobascio, Federica; Masi, Sara; Crotti, Silvia; De Stefano, Ludovico; Bruno, Raffaele; Corsico, Angelo Guido; Di Sabatino, Antonio; Perlini, Stefano; Montecucco, Carlomaurizio; Caccialanza, Riccardo",NUTRI-COVID19 IRCCS San Matteo Pav,,,CLINICAL NUTRITION,APR 2021,2021,40.0,4.0,,,,2469,2472,,10.1016/j.clnu.2020.10.055,,,54,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,21,8,0,2
"Treatment With 25-Hydroxyvitamin D3 (Calcifediol) Is Associated With a Reduction in the Blood Neutrophil-to-Lymphocyte Ratio Marker of Disease Severity in Hospitalized Patients With COVID-19: A Pilot Multicenter, Randomized, Placebo-Controlled, Double-Blinded Clinical Trial","Maghbooli, Zhila; Sahraian, Mohammad Ali; Jamalimoghadamsiahkali, Saeidreza; Asadi, Asma; Zarei, Azadeh; Zendehdel, Abolfazl; Varzandi, Tarlan; Mohammadnabi, Sara; Alijani, Neda; Karimi, Mehrdad; Shirvani, Arash; Holick, Michael F.",,,,ENDOCRINE PRACTICE,DEC 2021,2021,27.0,12.0,,,,1242,1251,,10.1016/j.eprac.2021.09.016,,,52,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,18,0,2
